pseudoword,Value
velull,0.539050253
vergact,0.453211714
verkans,0.447556696
vevem,0.530530471
vibcines,0.494387247
vifan,0.519333426
viker,0.526262769
villup,0.508491366
vimby,0.636756129
vime,0.506346844
visk,0.582116766
viute,0.666741864
vivrerred,0.512333794
vixgle,0.403959879
volleed,0.62858698
volols,0.531900652
votaws,0.426999681
votko,0.51423887
voulnals,0.45899289
vounly,0.491170412
vubfar,0.432492102
vubnar,0.444468792
vufas,0.435708245
vuftie,0.549317502
vugloi,0.349280714
vussals,0.447708028
vussuls,0.44725632
wabtaffs,0.535392814
wabtave,0.519591848
wabwand,0.536346956
waca,0.577670864
wapgred,0.429737545
warb,0.519187417
wareies,0.481928094
warker,0.566267611
wassown,0.513277401
wava,0.684555007
wawened,0.524953795
wayfle,0.631666621
wazo,0.679839211
wearn,0.527586864
webtless,0.453031392
weecly,0.497969749
weef,0.534533383
weenman,0.514142684
weifnight,0.421841819
welup,0.516360119
werb,0.544597119
werble,0.625643193
werfy,0.578662389
werier,0.492276023
werm,0.508963643
whak,0.439818043
wheam,0.584588654
whez,0.561440004
whickstap,0.495157945
whily,0.659317421
whisspeals,0.546541807
whisspouls,0.543937633
whombers,0.617853032
whosouts,0.538771951
whosting,0.44499417
whowzage,0.677679972
wikh,0.523680965
wiky,0.69116137
willup,0.61001297
wilths,0.550318241
wimelat,0.51212694
wirps,0.500076382
wisdening,0.611871114
wizer,0.592395479
wodgal,0.490309965
woller,0.563985181
woost,0.653557382
wootworn,0.449491359
worglers,0.448055523
woshbop,0.551277343
wothing,0.376341689
wreague,0.387467008
wroltres,0.379747467
wubes,0.562748882
xecoc,0.37128436
xecos,0.489585647
xedan,0.519883282
xeddish,0.438357147
xedi,0.624142939
xedin,0.452836113
xedo,0.457023483
xefla,0.515843637
xegan,0.515903947
xegman,0.484535019
xegna,0.469566882
xeken,0.458551556
xeli,0.554695972
xelman,0.489171031
xelo,0.551734563
xembies,0.51913988
xemi,0.58189334
xemin,0.4797968
xemix,0.555040488
xemmians,0.495960802
xengtho,0.421956701
xeotan,0.441135015
xepo,0.483664844
xepra,0.479107331
xepu,0.55904155
xequa,0.522821267
xeras,0.558101742
xesca,0.563036075
xesex,0.486751813
xesma,0.3986928
xesok,0.448968895
xesos,0.433770053
xetob,0.435575893
xetof,0.51790247
xetog,0.409380048
xetos,0.51461464
xetow,0.4619138
xetten,0.472024685
xetty,0.57180589
xexen,0.477664216
xmat,0.533876657
yabe,0.597044116
yary,0.680556242
yishing,0.680349084
yofi,0.64123279
youncing,0.588328528
yual,0.566436024
yunal,0.565963501
yupen,0.556489216
yuppea,0.561031603
yury,0.587923064
yusi,0.65560862
yuxwas,0.374044958
yuywas,0.533066323
zauze,0.501797655
zerow,0.461896914
zilk,0.548832407
zohels,0.47181183
zokils,0.513796863
